User,CI,CPRs,MPRs,Cts,Reviews
kbentaleb,2,3,(null),(null),(null)
k0dev,2,1,1,(null),(null)
JustineBlanchet,2,3,(null),(null),(null)
JuanMarta,2,1,(null),1,(null)
joshuajan,2,2,1,(null),(null)
Jortolsa-S73,2,(null),(null),(null),2
Jord38,2,1,(null),1,(null)
JonathanOsAlc,2,2,(null),1,(null)
jgrandguillaume,2,(null),(null),(null),2
jdebetaz,2,1,(null),2,(null)
jbernausVunkers,2,(null),2,(null),(null)
JayVora-SerpentCS,2,(null),(null),1,1
jasalt,2,(null),(null),3,(null)
janikvonrotz,2,1,(null),1,(null)
it-fact4lifetimesupport,2,(null),(null),(null),2
IsabelAForgeFlow,2,6,(null),(null),(null)
is-ife,2,(null),(null),(null),2
IoanaComaniciu00,2,1,1,(null),(null)
imanie383,2,(null),(null),1,1
hussain,2,(null),(null),1,1
hugosantosred,2,(null),(null),1,1
houzefa-abba,2,(null),(null),1,1
HectorMerazChavez,2,(null),(null),(null),2
hannes386,2,(null),(null),(null),2
gomezgleonardob,2,4,(null),(null),(null)
GladistoneSouza,2,1,1,(null),(null)
geomer198,2,(null),(null),2,1
gdemarco2esseti,2,(null),(null),(null),2
gabrieledaltoe,2,1,1,(null),(null)
gabrielcardoso21,2,1,(null),2,(null)
Fran-Exposito-L,2,(null),(null),4,(null)
ffiedl,2,1,(null),2,(null)
fanha99,2,2,(null),(null),1
fanchlegal,2,(null),(null),(null),2
F4LC0NN,2,1,(null),(null),1
eticco,2,(null),1,2,(null)
enigmista91,2,2,(null),1,(null)
EndikaPM,2,3,(null),(null),(null)
emadshaaban92,2,(null),1,(null),1
dustinpinkman,2,1,(null),1,(null)
Drsmartinkus,2,2,(null),1,(null)
drkpkg,2,1,(null),1,(null)
Dranyel-Bosd,2,(null),(null),(null),2
dg-sabine,2,(null),(null),1,1
desagia,2,4,(null),(null),(null)
depaolim,2,(null),(null),(null),2
denaux,2,1,1,(null),(null)
dbruehlmeier,2,4,(null),(null),(null)
davidwul,2,1,(null),1,(null)
dalonsofl,2,1,1,(null),(null)
cosmii02,2,1,(null),2,(null)
cormaza,2,1,(null),(null),1
CorentinVermeulen,2,(null),(null),1,1
claudio-mano,2,(null),(null),2,1
chmuche,2,2,(null),1,(null)
cem-adhoc,2,1,(null),1,(null)
CarmenMiranda,2,(null),(null),(null),2
BT-pkosnik,2,1,(null),1,(null)
BT-ojossen,2,(null),(null),(null),2
bofiltd,2,(null),(null),(null),2
bobslee,2,(null),(null),1,1
benwillig,2,(null),1,(null),1
azubieta,2,1,(null),1,(null)
ayushin,2,(null),(null),4,(null)
augusto-weiss,2,2,(null),1,(null)
AReitenauer,2,(null),(null),1,1
AquaMCU,2,(null),(null),3,(null)
apik-mgu,2,2,(null),1,(null)
ap-wtioit,2,(null),1,(null),1
antonio-trey,2,1,(null),1,(null)
andres-pcg,2,(null),(null),3,(null)
andres-jpv,2,3,(null),(null),(null)
andrel-exo,2,2,(null),(null),1
amosdisabatino,2,(null),(null),(null),2
AmanPrakash00,2,1,(null),1,(null)
alicedsp,2,(null),(null),(null),2
AlexanderMurre,2,1,1,(null),(null)
alejandrotrey,2,(null),1,2,(null)
aleboldro02,2,1,(null),1,(null)
AlbertCabedo,2,(null),(null),3,(null)
adrian-dks,2,1,1,(null),(null)
abdounasser202,2,(null),(null),2,1
aaladro-kernet,2,1,1,(null),(null)
a0c,2,1,(null),1,(null)
7uss4m,2,3,(null),(null),(null)
zingbizzteam,1,1,(null),(null),(null)
yledoare,1,(null),(null),1,(null)
XenoMannens,1,1,(null),(null),(null)
Xavier-Do,1,(null),(null),(null),1
wluyima,1,(null),(null),2,(null)
Wh1spr,1,(null),(null),1,(null)
vvro,1,2,(null),(null),(null)
Vrutik-0,1,1,(null),(null),(null)
VizMan0616,1,(null),(null),1,(null)
